,drop_off_instructions,material_name,material_synonyms,material_title,special_instructions,stream_name,stream_title,Location Category,Type
382,There is no curbside collection for this item. Take it to an Eco Station for free. ,pool_heater,,Pool heater,,wizard_eco_stations,Eco Station,Electronics,E-Cycling
383,,plastic_beverage_bottle,"soda bottle, water bottle",Pop bottle,Remove cap and place in recycling.,bottle_depot,Bottle Depot,Household,Plastic
384,,plastic_beverage_bottle,"soda bottle, water bottle",Pop bottle,Remove cap and place in recycling.,wizard_recycling,Recycling,None,None
385,,plastic_beverage_bottle,"soda bottle, water bottle",Pop bottle,Remove cap and place in recycling.,wizard_recycling_depots,Recycling Depot,None,None
386,,pop_can,Soda,Pop can,,bottle_depot,Bottle Depot,Household,Aluminum
387,,pop_can,Soda,Pop can,,wizard_recycling,Recycling,None,None
388,,pop_can,Soda,Pop can,,wizard_recycling_depots,Recycling Depot,None,None
389,,popcorn_bag,"microwaveable, bags, POPCORNBAG",Popcorn bag,,wizard_garbage,Garbage,None,None
390,,popsicle_sticks,,Popsicle sticks,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
391,,popsicle_sticks,,Popsicle sticks,,wizard_garbage,Garbage,None,None
392,,postcard,post card,Postcard,,drop-off_-_reuse_centre,Reuse Centre,Household,paper
393,,postcard,post card,Postcard,,wizard_recycling,Recycling,None,None
394,,postcard,post card,Postcard,,wizard_recycling_depots,Recycling Depot,None,None
395,,power_tool,"band saw, saw, drill, sander, electric tools, cordless drill",Power tool,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
396,,power_tool,"band saw, saw, drill, sander, electric tools, cordless drill",Power tool,,reuse,Reuse,None,None
397,,newspaper,"news, newsprint, newspapers, newspapers, Coloring books",Newspaper,,wizard_recycling_depots,Recycling Depot,Household,paper
398,There is no curbside collection for this electronic item. ,printer,,Printer,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
399,,paint_stripper,"paint removers, paint sealers, paint thinners, urethane, varsol, solvent",Paint stripper,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
400,There is no curbside collection for this electronic item. ,projector,,Projector,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
401,,shower_cap,,Shower cap,,wizard_garbage,Garbage,None,None
402,,piano,,Piano,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
403,,pumpkin,"Jack-o-lantern; jack o lantern, pumpkins",Pumpkin,"This item is great for home composting! Get started at <a href=""http://edmonton.ca/compost"" edmonton.ca/compost. Did you know? Food & yard waste is removed from your garbage at the Edmonton Waste Management Centre and composted. This helps Edmonton divert over 50% of household waste from landfill.",wizard_garbage,Garbage,None,None
404,,radio,,Radio,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,None,None
405,,needles_syringes,"needles, syringes, lancets, sharps, Syringe, Syringe",Needles & syringes,"Package medical sharps safely.  For drop off at an Eco Station, place needles in a thick, puncture-proof plastic container with screw-top lid (e.g.  laundry detergent bottle) and label ""sharps."" Thanks for keeping needles and syringes out of your garbage and recycling. This keeps waste collectors and sorters safe.",wizard_contact_pharmacy,Contact Pharmacy,None,None
406,,razor_disposable,shaver,Razor (disposable),,wizard_garbage,Garbage,None,None
407,There is no curbside collection for this appliance.,razor_electric,"shaver, blade",Razor (electric),,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
408,,toilet_paper_roll,"toilet paper, toilet paper tube, toiletpaper tube",Toilet paper tube,,wizard_recycling,Recycling,Household,paper
409,There is no curbside collection for this electronic item. ,receiver,,Receiver,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
410,There is no curbside collection for this electronic item. ,record_player,,Record player,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
411,,power_cord,,Power cord,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
412,,ribbons_bows,"ribbon, bow, wrapping bows, bows",Ribbons & bows,Reuse tip: keep ribbons and bows for future use.,drop-off_-_reuse_centre,Reuse Centre,Household,paper
413,,ribbons_bows,"ribbon, bow, wrapping bows, bows",Ribbons & bows,Reuse tip: keep ribbons and bows for future use.,wizard_garbage,Garbage,None,None
414,,sandpaper,sand paper,Sandpaper,,drop-off_-_reuse_centre,Reuse Centre,construction,Waste
415,,sandpaper,sand paper,Sandpaper,,wizard_garbage,Garbage,None,None
416,There is no curbside collection for this item. Please take it to an Eco Station.,satellite_dish,,Satellite dish,,wizard_eco_stations,Eco Station,Scrap Metals,E-Cycling
417,,sawdust,"saw dust, wood shavings, wood dust",Sawdust,"Please double bag. It keeps your waste collector safe. This item is great for home composting! Get started at ""http://edmonton.ca/compost"" edmonton.ca/compost. Did you know? The organic component of your waste is removed from your garbage at the Edmonton Waste Management Centre and composted. This helps Edmonton divert over 50% of household waste from landfill. ",wizard_garbage,Garbage,None,None
418,,scanner,,Scanner,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
419,,scanner,,Scanner,,reuse,Reuse,None,None
420,,scissors,,Scissors,,drop-off_-_reuse_centre,Reuse Centre,Scrap Metals,Waste
421,,scissors,,Scissors,,wizard_garbage,Garbage,None,None
422,,plastic_pipe,"pvc pipe, hdpe piping, pvc pipe",Plastic pipe,,wizard_garbage,Garbage,None,None
423,,shaving_cream_can_empty,,Shaving cream can (empty),,wizard_recycling,Recycling,Household,Aluminum
424,,shaving_cream_can_empty,,Shaving cream can (empty),,wizard_recycling_depots,Recycling Depot,None,None
425,,shoe_box,Shoe box,Shoebox,,drop-off_-_reuse_centre,Reuse Centre,Household,paper
426,,shoe_box,Shoe box,Shoebox,,wizard_recycling,Recycling,None,None
427,,shoe_box,Shoe box,Shoebox,,wizard_recycling_depots,Recycling Depot,None,None
428,,shoes,"running shoes, high heels, sneakers, , winter boots, rubber boot, Slippers",Shoes,,reuse,Reuse,Waste,Waste
429,,shoes,"running shoes, high heels, sneakers, , winter boots, rubber boot, Slippers",Shoes,,wizard_garbage,Garbage,None,None
430,,six-pack_rings,"six pack; pop; beer, Plastic pop can holders, Plastic pop can holders, Plastic pop can holders, Plastic pop can holders",Six-pack rings,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
431,,six-pack_rings,"six pack; pop; beer, Plastic pop can holders, Plastic pop can holders, Plastic pop can holders, Plastic pop can holders",Six-pack rings,,wizard_garbage,Garbage,None,None
432,,fire_extinguisher,,Fire extinguisher,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
433,,mercury_thermostat,,Mercury thermostat,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
434,,fuse,,Fuse,,wizard_garbage,Garbage,None,None
435,There is no curbside collection for this electronic item. Please take it to an Eco Station for free.,smoke_detector,,Smoke detector,,wizard_eco_stations,Eco Station,Electronics,E-Cycling
436,,snack_food_wrapper,"candy bar wrapper, chocolate bar wrapper, granola bar wrapper, foil wrapper",Snack food wrapper,,wizard_garbage,Garbage,None,None
437,,soap,,Soap,,wizard_garbage,Garbage,None,None
438,,picture_frame,Photo frame,Picture frame,"Is your picture frame missing the glass? Thats OK. The Reuse Centre will still accept it! Putting your broken frame in the garbage? The item must fit inside a garbage bag. If it is too large, break it down into smaller pieces or take it to an ""http://edmonton.ca/ecostation"" Eco Station. Glass must be removed from frame, put in a cardboard box labelled sharp objects, and placed beside your garbage for collection. This keeps your waste collector safe.",drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
439,,styrofoam_take-out_food_container,"styrafoam, takeout, polystyrene, PS 6, styrefome, styrofome, styrophome, styrofome, styrophome, styroform, styrophom, strofoam, stryafoam, stryofoam, stirofoam, stryofoam, styrofoan, styerfome, syrofoam, number 6, steroform, sytrofoam, styraform, polystrine, polystrrine, styropolene, styrsfoam, stroyfoam, strayfoam, stroform, styrefoam, styromfoam, stirafoam, stryoform, styropor, stryfoam, styrfoam, polysterene, Sytrofome, ps6, Steryfoam, Steryform, sterofoam, steropoam, steropoam, steropoam, styrofoome, styerofoam, STYOFOAM CONTAIER, sterophone, plactic 6, sytrophom, styrofoal, styron, syrophoam, sytro, sytrafoam, styraphom, styro foaml, styafoam, Styrafome, styrom, Stereofone, Fome, SYTOFORM, polystyrene, take-out containers, take-out containers",Styrofoam take-out food container,"Did you know? Styrofoam will be used to make ethanol and methanol in Edmontons new Waste to Biofuels and Chemicals Facility. Learn more at <a href=""http://edmonton.ca/ewmc"" edmonton.ca/ewmc.",wizard_garbage,Garbage,None,None
440,,spray_bottle_nozzle,"nozzle, cleaner",Spray bottle nozzle,,wizard_garbage,Garbage,None,None
441,,lanscape_fabric,lanscape,Landscape fabric,"Item must fit inside of a garbage bag. If it is too large, take it to an ""http://edmonton.ca/ecostation"" Eco Station.",wizard_garbage,Garbage,None,None
442,,stickers,,Stickers,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
443,,stickers,,Stickers,,wizard_garbage,Garbage,None,None
444,,sticky_note,"Post It note, Postit note",Sticky note,,wizard_recycling,Recycling,Household,paper
445,,sticky_note,"Post It note, Postit note",Sticky note,,wizard_recycling_depots,Recycling Depot,None,None
446,,stove,,Stove,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Waste,Waste
447,,stove,,Stove,,reuse,Reuse,None,None
448,,string_twine,,"String, twine",,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
449,,string_twine,,"String, twine",,wizard_garbage,Garbage,None,None
450,,needles_syringes,"needles, syringes, lancets, sharps, Syringe, Syringe",Needles & syringes,"Package medical sharps safely.  For drop off at an Eco Station, place needles in a thick, puncture-proof plastic container with screw-top lid (e.g.  laundry detergent bottle) and label ""sharps."" Thanks for keeping needles and syringes out of your garbage and recycling. This keeps waste collectors and sorters safe.",wizard_household_hazardous_waste,Household Hazardous Waste,None,None
451,,stuffed_animal,"stuffed toys, teddy bears, beanie babies, plushie, plush toy; stuffies",Stuffed animal,,reuse,Reuse,Waste,Waste
452,,stuffed_animal,"stuffed toys, teddy bears, beanie babies, plushie, plush toy; stuffies",Stuffed animal,,wizard_garbage,Garbage,None,None
453,,wrapping_paper_no_foil,"Wrapping paper, Gift wrap, giftwrap, Christmas, wrapping paper",Gift wrap (paper),,wizard_recycling,Recycling,Household,paper
454,,candy_wrapper,"foil wrapper, chocolate wrapper, snack wrapper, candy bags",Candy wrapper,,wizard_garbage,Garbage,None,None
455,,styrofoam_egg_carton,"Foam egg carton, styrafoam, polystyrene, PS 6, styrefome, styrofome, styrophome, styrofome, styrophome, styroform , styrophom, strofoam, stryafoam, stryofoam, stirofoam, stryofoam, styrofoan, styerfome, syrofoam, number 6, steroform, sytrofoam, styraform, polystrine, polystrrine, styropolene, styrsfoam, stroyfoam, strayfoam, stroform, styrefoam, styromfoam, stirafoam, stryoform, styropor, stryfoam, styrfoam, polysterene, Sytrofome, ps6, Steryfoam, Steryform, sterofoam, steropoam, steropoam, steropoam, styrofoome, styerofoam, STYOFOAM CONTAIER, sterophone, plactic 6, sytrophom, styrofoal, styron, syrophoam, sytro, sytrafoam, styraphom, styro foaml, styafoam, Styrafome, styrom, Stereofone, Fome, SYTOFORM",Styrofoam egg carton,"Did you know? Styrofoam will be used to make ethanol and methanol in Edmontons new Waste to Biofuels and Chemicals Facility. Learn more at ""http://edmonton.ca/ewmc"">edmonton.ca/ewmc.",drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
456,,paper_booklet,"crossword, soduko, puzzle",Paper booklet,,wizard_recycling_depots,Recycling Depot,Household,Paper
457,,toaster,,Toaster,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
458,,toaster,,Toaster,,reuse,Reuse,None,None
459,,metal_cabinet,file cabinet,Metal cabinet,,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,Scrap Metals,Waste
460,,plastic_spray_bottle,"Windex, cleaner",Plastic spray bottle,Empty and rinse plastic bottle. Remove spray nozzle and dispose of in garbage.,wizard_recycling_depots,Recycling Depot,Household,Plastic
461,,paperback_book,"used crossword puzzle book, paper back, soduko",Paperback book,,drop-off_-_reuse_centre,Reuse Centre,Household,paper
462,,spray_paint_can,,Spray paint can,,wizard_household_hazardous_waste,Household Hazardous Waste,Household,Waste
463,,grass_clippings,", grass, grass, green glass, green glass, lawn",Grass clippings,"Grass clippings are heavy. Keep your bags light. Your collector lifts hundreds of bags every day. If you have trouble lifting your bag or can to the curb, its too heavy.",wizard_garbage,Garbage,None,None
464,,styrofoam_egg_carton,"Foam egg carton, styrafoam, polystyrene, PS 6, styrefome, styrofome, styrophome, styrofome, styrophome, styroform , styrophom, strofoam, stryafoam, stryofoam, stirofoam, stryofoam, styrofoan, styerfome, syrofoam, number 6, steroform, sytrofoam, styraform, polystrine, polystrrine, styropolene, styrsfoam, stroyfoam, strayfoam, stroform, styrefoam, styromfoam, stirafoam, stryoform, styropor, stryfoam, styrfoam, polysterene, Sytrofome, ps6, Steryfoam, Steryform, sterofoam, steropoam, steropoam, steropoam, styrofoome, styerofoam, STYOFOAM CONTAIER, sterophone, plactic 6, sytrophom, styrofoal, styron, syrophoam, sytro, sytrafoam, styraphom, styro foaml, styafoam, Styrafome, styrom, Stereofone, Fome, SYTOFORM",Styrofoam egg carton,"Did you know? Styrofoam will be used to make ethanol and methanol in Edmontons new Waste to Biofuels and Chemicals Facility. Learn more at ""http://edmonton.ca/ewmc"">edmonton.ca/ewmc.",wizard_garbage,Garbage,None,None
465,,styrofoam_packing_peanuts,"styrafoam, polystyrene, PS 6, styrefome, styrofome, styrophome, styrofome, styrophome, styroform, styrophom, strofoam, stryafoam, stryofoam, stirofoam, stryofoam, styrofoan, styerfome, syrofoam, number 6, steroform, sytrofoam, styraform, polystrine, polystrrine, styropolene, styrsfoam, stroyfoam, strayfoam, stroform, styrefoam, styromfoam, stirafoam, stryoform, styropor, stryfoam, styrfoam, polysterene, Sytrofome, ps6, Steryfoam, Steryform, sterofoam, steropoam, steropoam, steropoam, styrofoome, styerofoam, STYOFOAM CONTAIER, sterophone, plactic 6, sytrophom, styrofoal, styron, syrophoam, sytro, sytrafoam, styraphom, styro foaml, styafoam, Styrafome, styrom, Stereofone, Fome, SYTOFORM, plastic egg cartons, packing foam, packing peanuts, plastic",Styrofoam packing peanuts,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
466,,styrofoam_packing_peanuts,"styrafoam, polystyrene, PS 6, styrefome, styrofome, styrophome, styrofome, styrophome, styroform, styrophom, strofoam, stryafoam, stryofoam, stirofoam, stryofoam, styrofoan, styerfome, syrofoam, number 6, steroform, sytrofoam, styraform, polystrine, polystrrine, styropolene, styrsfoam, stroyfoam, strayfoam, stroform, styrefoam, styromfoam, stirafoam, stryoform, styropor, stryfoam, styrfoam, polysterene, Sytrofome, ps6, Steryfoam, Steryform, sterofoam, steropoam, steropoam, steropoam, styrofoome, styerofoam, STYOFOAM CONTAIER, sterophone, plactic 6, sytrophom, styrofoal, styron, syrophoam, sytro, sytrafoam, styraphom, styro foaml, styafoam, Styrafome, styrom, Stereofone, Fome, SYTOFORM, plastic egg cartons, packing foam, packing peanuts, plastic",Styrofoam packing peanuts,,wizard_garbage,Garbage,None,None
467,,styrofoam_tray,"foam trays, meat trays",Styrofoam tray,"Did you know? Styrofoam will be used to make ethanol and methanol in Edmontons new Waste to Biofuels and Chemicals Facility. Learn more at <a href=""http://edmonton.ca/ewmc"">edmonton.ca/ewmc.",wizard_garbage,Garbage,None,None
468,,table,,Table,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
469,,table,,Table,,reuse,Reuse,None,None
470,,tablet_electronic,"iPad, Surface",Tablet (electronic),,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
471,,tablet_electronic,"iPad, Surface",Tablet (electronic),,reuse,Reuse,None,None
472,,tape_dispenser_plastic,Scotch tape,"Tape dispenser, plastic",,wizard_garbage,Garbage,None,None
473,There is no curbside collection for this electronic item. ,television,"TV, television, teve, teevee, big screen TV, flat screen tv, TVs",Television,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,tv,E-Cycling
474,,tetra-pak_beverage,,Tetra-pak (beverage),,bottle_depot,Bottle Depot,None,None
475,,tetra-pak_beverage,,Tetra-pak (beverage),,wizard_recycling,Recycling,None,None
476,,tetra-pak_beverage,,Tetra-pak (beverage),,wizard_recycling_depots,Recycling Depot,None,None
477,,tetra-pak_food,,Tetra-pak (food),,wizard_recycling,Recycling,None,None
478,,tetra-pak_food,,Tetra-pak (food),,wizard_recycling_depots,Recycling Depot,None,None
479,,textbook,"Texts, school book",Textbook,Remove hard cover and place in garbage. Put remaining pages in the recycling.,wizard_recycling,Recycling,Household,paper
480,,textbook,"Texts, school book",Textbook,Remove hard cover and place in garbage. Put remaining pages in the recycling.,wizard_recycling_depots,Recycling Depot,None,None
481,,thread,sewing thread,Thread,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
482,,thread,sewing thread,Thread,,wizard_garbage,Garbage,None,None
483,,paperback_book,"used crossword puzzle book, paper back, soduko",Paperback book,,wizard_recycling,Recycling,None,None
484,"There is no curbside collection for tires. Take them to an Eco Station for recycling.  Eco Stations accept passanger vehicle, motorcycle and ATV tires from residents at no charge.",tires,,Tires,,wizard_eco_stations,Eco Station,Tires,Tires
485,,tissue_box,Kleenex,Tissue box,,wizard_recycling,Recycling,Household,paper
486,,tissue_box,Kleenex,Tissue box,,wizard_recycling_depots,Recycling Depot,None,None
487,,cooking_oil,"Canola oil, peanut oil, olive oil, vegetable oil, fats, grease, deep fry, deepfry, cookingoil, fat, grease, FOG, FOG",Cooking oil,"Store it, dont pour it! Fats, oils and grease poured down your drain solidify in your pipes. This clogs sewer lines and can cause sewage backup in your home and neighbourhood.  Did you know? Cooking oil hidden inside garbage bags can spray when compacted by garbage trucks. This can harm your collector and cause property damage. Thanks for setting it beside your waste - it ensures its safely handled.",garbage_cooking_oil,Cooking Oil,Chemicals,Waste
488,,toilet_brush,,Toilet brush,,wizard_garbage,Garbage,None,None
489,,audio_cassette_tape_case,,Audio cassette tape case,,wizard_garbage,Garbage,None,None
490,,plastic_cooking_utensil,", plastic spatula, plastic spatula",Plastic cooking utensil,,reuse,Reuse,None,None
491,,paperback_book,"used crossword puzzle book, paper back, soduko",Paperback book,,wizard_recycling_depots,Recycling Depot,None,None
492,,toilet_paper_roll,"toilet paper, toilet paper tube, toiletpaper tube",Toilet paper tube,,wizard_recycling_depots,Recycling Depot,None,None
493,,toilet_seat,"toilet lid, lid, ",Toilet seat,,wizard_garbage,Garbage,None,None
494,,toothbrush,Tooth brush,Toothbrush,,wizard_garbage,Garbage,None,None
495,,toothpaste_tube,Tooth paste tube,Toothpaste tube,,wizard_garbage,Garbage,None,None
496,,toothpick,Tooth pick,Toothpick,,wizard_garbage,Garbage,None,None
497,,towels,"bath towels, wash cloth, tea towels, rags",Towels,"Did you know? ""https://www.edmontonhumanesociety.com/"" The Edmonton Humane Society accepts used towels, linens and blankets for animal bedding. ",reuse,Reuse,Waste,Waste
498,,towels,"bath towels, wash cloth, tea towels, rags",Towels,"Did you know? ""https://www.edmontonhumanesociety.com/"" The Edmonton Humane Society accepts used towels, linens and blankets for animal bedding. ",wizard_garbage,Garbage,None,None
499,,ice_cube_tray,,Ice cube tray,,reuse,Reuse,None,None
500,,photo_album,,Photo album,,wizard_garbage,Garbage,None,None
501,,animal_carcass_large,"deer, moose, hunting, dead",Animal carcass (large),"Large animal carcasses are not accepted at any City of Edmonton waste facilities, including the Edmonton Waste Management Centre. Search the <a href=""https://www.yellowpages.ca/"" Yellow Pages to find landfills in the Edmonton region that accept large animal carcasses.",,,Waste,Waste
502,,stain,"paints, stains, stain, paint cans, paint containers, paint removers, paint sealers, paint thinner, paint trays, urethane",Wood stain,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
503,,trophy,Trophies,Trophy,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
504,,trophy,Trophies,Trophy,,wizard_garbage,Garbage,None,None
505,There is no curbside collection for this electronic item. ,turntable,Record player,Turntable,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Waste,Waste
506,,firepit,,firepit,,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,Waste,Waste
507,,twist_tie,"twisttie, twist ties, twistties",Twist tie,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
508,,twist_tie,"twisttie, twist ties, twistties",Twist tie,,wizard_garbage,Garbage,None,None
509,,laminate_flooring,lamniate,Laminate flooring,,wizard_construction_renovation_and_demolition_waste,"Construction, Renovation and Demolition Waste",construction,Waste
510,,humidifier,,Humidifier,,reuse,Reuse,Electronics,E-Cycling
511,,paper_receipts,", Cash register receipts, Sales receipts, Sales receipts",Paper receipts,,wizard_recycling_depots,Recycling Depot,Household,paper
512,,rubber_boots,,Rubber boots,,reuse,Reuse,Waste,Waste
513,,vacuum_bag,,Vacuum bag,Please double bag. It keeps your waste collector safe.,wizard_garbage,Garbage,None,None
514,,wrapping_paper_foil,"wrapping paper, giftwrap, Christmas, wrapping paper, wrapping paper, Foil wrapping paper",Gift wrap (foil),,wizard_garbage,Garbage,None,None
515,There is no curbside collection for this electronic item. ,vcr_player,,VCR player,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
516,,vegetables,"salad, corn cobs, olives, jam, sweet potato, spaghetti squash, butternut squash, banana squash, kabocha squash, crookneck squash, sweet potato squash, acorn squash,   peanuts, lentils, avocado, husks, arugula, cores, peels, potato, celery, pepper, carrot, mushroom, carrots, tomatoes, cabbage. broccoli, squash, pumpkin, avocado, leeks, zucchini, hot peppers, legumes, peas, beans, sprouts, brussel sprouts, beets, pickle, cauliflower, garlic, egg plant, asperges, green onions, cucumber, spinach, artichoke,",Vegetable scraps,"This item is great for home composting! Visit ""http://edmonton.ca/compost"" edmonton.ca/compost to get started. Did you know? Food & yard waste is removed from your garbage and composted at the Edmonton Waste Management Centre. This helps Edmonton divert over 50% of household waste from landfill. ",wizard_garbage,Garbage,None,None
517,,paper_napkins,"napkins, serviettes, disposable, absorbent paper, soiled, paper napkins, dirty napkins, dirty napkins, Paper napkins",Paper napkin,,wizard_garbage,Garbage,None,None
518,,wrapping_paper_foil,"wrapping paper, giftwrap, Christmas, wrapping paper, wrapping paper, Foil wrapping paper",Gift wrap (foil),,drop-off_-_reuse_centre,Reuse Centre,None,None
519,,paper_booklet,"crossword, soduko, puzzle",Paper booklet,,wizard_recycling,Recycling,None,None
520,,dishwash_soap_bottle,dish washing liquid container,Dishwash soap bottle,Remove cap or lid and place separately in recycling.,wizard_recycling,Recycling,Household,Plastic
521,,washing_machine,Washer,Washing machine,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
522,,washing_machine,Washer,Washing machine,,reuse,Reuse,None,None
523,,water_filter,Brita,Water filter,,wizard_garbage,Garbage,None,None
524,,wax_paper,waxed,Wax paper,,wizard_garbage,Garbage,None,None
525,,styrofoam_meat_tray,,Styrofoam meat tray,,wizard_garbage,Garbage,None,None
526,,light_fixture,"light ballast, lighting",Light fixture,,wizard_eco_stations,Eco Station,None,None
527,,fluorescent_tube,"tubes, tube, lamps, lamp, fluorescent tubes, light bulb, light bulbs, energy efficient, fluroesenct, flourescent, flourscent, flourcesent, florecent, florescent, florscent, fluorescents, , Flouescent",Fluorescent tube,,wizard_household_hazardous_waste,Household Hazardous Waste,Electronics,E-Cycling
528,,iced_tea_container,,Iced tea container,,wizard_garbage,Garbage,None,None
529,,paper_take-out_food_container,"take-out, takeout, take out, compostable paper, delivery, fast food, fast-food, fastfood, KFC bucket, take-out containers",Paper take-out food container,,wizard_garbage,Garbage,None,None
530,,wine_bottle,,Wine bottle,,bottle_depot,Bottle Depot,Household,Glass
531,,wine_bottle,,Wine bottle,,wizard_recycling,Recycling,None,None
532,,wine_bottle,,Wine bottle,,wizard_recycling_depots,Recycling Depot,None,None
533,,wine_corks,,Wine corks,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
534,,wine_corks,,Wine corks,,wizard_garbage,Garbage,None,None
535,,wiper_blade,"windshield, windsheild",Wiper blade,,wizard_garbage,Garbage,None,None
536,,wire_metal,", wire mesh","Wire, metal",,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,Scrap Metals,Waste
537,,tent,", Canvas tent, Canvas tent",Tent,"Item must fit inside of garbage bag. If it is too large, take it to an ""http://edmonton.ca/ecostation"">Eco Station. Recycle your tent poles at an Eco Station! They will be accepted as scrap metal.",wizard_garbage,Garbage,Waste,Waste
538,,yarn,,Yarn,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
539,,yarn,,Yarn,,wizard_garbage,Garbage,None,None
540,,yogurt_cup,,Yogurt cup,Rinse container and remove lid. Place foil lid in garbage and plastic lid in recycling.,wizard_recycling,Recycling,Household,plastic
541,,plastic_spray_bottle,"Windex, cleaner",Plastic spray bottle,Empty and rinse plastic bottle. Remove spray nozzle and dispose of in garbage.,wizard_recycling,Recycling,None,None
542,,pressurized_gas_container,"pressurized gas tank, air compressor, acetylene, helium, air tanks, air pump, butane bottle, compressed gas, fire extinguisher, oxygen tank, Cryogen canister, balloon compress air",Pressurized container,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
543,,dental_floss_container,floss dispenser; floss box,Dental floss container,,wizard_garbage,Garbage,None,None
544,,wool,,Wool,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
545,,broken_glass,", Cfl broken, Cfl broken, sharps,",Broken glass,"Keep your waste collector safe. Put broken glass in a box and label ""sharp objects"". Place beside your garbage for collection.",wizard_garbage,Garbage,None,None
546,,plastic_gift_card,Credit Card,Plastic gift card,,wizard_garbage,Garbage,None,None
547,,bakeware_metal,"baking racks, baking sheets, cookie sheets, moulds, Muffin panN, Muffin panN, pan, pan",Bakeware (metal),,wizard_garbage,Garbage,None,None
548,,pressurized_gas_container,"pressurized gas tank, air compressor, acetylene, helium, air tanks, air pump, butane bottle, compressed gas, fire extinguisher, oxygen tank, Cryogen canister, balloon compress air",Pressurized container,,wizard_eco_station_-_household_hazardous_waste,Eco Station - HHW,None,None
549,,soup_carton,"Tetra Pak, cartons, containers, Tetra paks, packs, aseptic, polycoat, tetrapak, Soup box",Soup carton,,wizard_recycling,Recycling,Household,Paper
550,,water_faucet,,Water faucet,,reuse,Reuse,Waste,Waste
551,,vases,", cracked flower vase",Vases,,wizard_garbage,Garbage,None,None
552,,soup_carton,"Tetra Pak, cartons, containers, Tetra paks, packs, aseptic, polycoat, tetrapak, Soup box",Soup carton,,wizard_recycling_depots,Recycling Depot,None,None
553,,water_faucet,,Water faucet,,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,None,None
554,,golf_clubs,,Golf clubs,,reuse,Reuse,Household,Waste
555,,picnic_cooler,plastic cooler,Picnic cooler,Cooler must be empty.,reuse,Reuse,Waste,Waste
556,,eggnog_carton,Egg nog,Eggnog carton,,bottle_depot,Bottle Depot,Household,Paper
557,,eggnog_carton,Egg nog,Eggnog carton,,wizard_recycling,Recycling,None,None
558,,plastic_medicine_bottle_empty,"medication, pill, pepto",Plastic medicine bottle (empty),"Remove cap or lid and place separately in recycling. Remember! Take old or unused medications back to a pharmacy for safe disposal. Never place them in the garbage or pour them down the drain, toilet or sewer.",wizard_recycling,Recycling,Household,plastic
559,,vinyl_gloves,,Vinyl gloves,,,,Waste,Waste
560,,eggnog_carton,Egg nog,Eggnog carton,,wizard_recycling_depots,Recycling Depot,None,None
